Program Version:,EnergyPlus, Version 25.1.0-68a4a7c774, YMD=2026.05.28 14:47
Tabular Output Report in Format: ,Comma

Building:,US+SF+CZ4C+hp+slab+IECC_2024
Environment:,ANNUAL ** Brussels.Natl.AP BRU BEL SRC-TMYx WMO#=064510

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over       144.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [kBtu],Energy Per Total Building Area [kBtu/ft2],Energy Per Conditioned Building Area [kBtu/ft2]
,Total Site Energy,1015.43,0.26,0.43
,Net Site Energy,1015.43,0.26,0.43
,Total Source Energy,3215.86,0.81,1.35
,Net Source Energy,3215.86,0.81,1.35


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating Water,3.613
,District Heating Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [ft2]
,Total Building Area,3965.68
,Net Conditioned Building Area,2377.10
,Unconditioned Building Area,1588.59


End Uses

,,Electricity [kBtu],Natural Gas [kBtu],Gasoline [kBtu],Diesel [kBtu],Coal [kBtu],Fuel Oil No 1 [kBtu],Fuel Oil No 2 [kBtu],Propane [kBtu],Other Fuel 1 [kBtu],Other Fuel 2 [kBtu],District Cooling [kBtu],District Heating Water [kBtu],District Heating Steam [kBtu],Water [gal]
,Heating,347.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,58.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,11.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,425.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,78.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,94.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,242.81
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,
,Total End Uses,1015.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,242.81
Note: Electricity appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [kBtu],Natural Gas [kBtu],Gasoline [kBtu],Diesel [kBtu],Coal [kBtu],Fuel Oil No 1 [kBtu],Fuel Oil No 2 [kBtu],Propane [kBtu],Other Fuel 1 [kBtu],Other Fuel 2 [kBtu],District Cooling [kBtu],District Heating Water [kBtu],District Heating Steam [kBtu],Water [gal]
Output Reporting Tolerances

,,Tolerance for Time Heating Setpoint Not Met,Tolerance for Zone Cooling Setpoint Not Met Time
,1,0.100,0.100


Site:GroundTemperature:BuildingSurface

,,Jan{F},Feb{F},Mar{F},Apr{F},May{F},Jun{F},Jul{F},Aug{F},Sep{F},Oct{F},Nov{F},Dec{F}
,1,64.40,64.40,64.40,64.40,64.40,64.40,64.40,64.40,64.40,64.40,64.40,64.40


Site:GroundTemperature:FCfactorMethod

,,Jan{F},Feb{F},Mar{F},Apr{F},May{F},Jun{F},Jul{F},Aug{F},Sep{F},Oct{F},Nov{F},Dec{F}
,1,38.08,40.46,45.09,49.48,57.78,62.15,63.36,61.14,56.03,49.64,43.36,39.22


Site:GroundTemperature:Shallow

,,Jan{F},Feb{F},Mar{F},Apr{F},May{F},Jun{F},Jul{F},Aug{F},Sep{F},Oct{F},Nov{F},Dec{F}
,1,55.40,55.40,55.40,55.40,55.40,55.40,55.40,55.40,55.40,55.40,55.40,55.40


Site:GroundTemperature:Deep

,,Jan{F},Feb{F},Mar{F},Apr{F},May{F},Jun{F},Jul{F},Aug{F},Sep{F},Oct{F},Nov{F},Dec{F}
,1,60.80,60.80,60.80,60.80,60.80,60.80,60.80,60.80,60.80,60.80,60.80,60.80


Site:GroundReflectance

,,Jan{dimensionless},Feb{dimensionless},Mar{dimensionless},Apr{dimensionless},May{dimensionless},Jun{dimensionless},Jul{dimensionless},Aug{dimensionless},Sep{dimensionless},Oct{dimensionless},Nov{dimensionless},Dec{dimensionless}
,1,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20


Site:GroundReflectance:SnowModifier

,,Normal,Daylighting {dimensionless}
,1,1.000,1.000


Site:GroundReflectance:Snow

,,Jan{dimensionless},Feb{dimensionless},Mar{dimensionless},Apr{dimensionless},May{dimensionless},Jun{dimensionless},Jul{dimensionless},Aug{dimensionless},Sep{dimensionless},Oct{dimensionless},Nov{dimensionless},Dec{dimensionless}
,1,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20


Site:GroundReflectance:Snow:Daylighting

,,Jan{dimensionless},Feb{dimensionless},Mar{dimensionless},Apr{dimensionless},May{dimensionless},Jun{dimensionless},Jul{dimensionless},Aug{dimensionless},Sep{dimensionless},Oct{dimensionless},Nov{dimensionless},Dec{dimensionless}
,1,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20


Environment:Weather Station

,,Wind Sensor Height Above Ground {ft},Wind Speed Profile Exponent {},Wind Speed Profile Boundary Layer Thickness {ft},Air Temperature Sensor Height Above Ground {ft},Wind Speed Modifier Coefficient-Internal,Temperature Modifier Coefficient-Internal
,1,32.810,0.140,885.870,4.921,1.586,9.750E-003


Site:Location

,,Location Name,Latitude {N+/S- Deg},Longitude {E+/W- Deg},Time Zone Number {GMT+/-},Elevation {ft},Standard Pressure at Elevation {psi},Standard RhoAir at Elevation
,1,Brussels.Natl.AP BRU BEL SRC-TMYx WMO#=064510,50.90,4.48,1.00,184.06,15.,1.1963


Site Water Mains Temperature Information

,,Calculation Method{},Water Mains Temperature Schedule Name{},Annual Average Outdoor Air Temperature{F},Maximum Difference In Monthly Average Outdoor Air Temperatures{deltaF},Fixed Default Water Mains Temperature{F}
,1,Correlation,NA,52.20,25.74,NA


Building Information

,,Building Name,North Axis {deg},Terrain,Loads Convergence Tolerance Value,Temperature Convergence Tolerance Value,Solar Distribution,Maximum Number of Warmup Days,Minimum Number of Warmup Days
,1,US+SF+CZ4C+hp+slab+IECC_2024,0.000,Suburbs,4.00000E-002,0.40000,FullExterior,10,10


Inside Convection Algorithm

,,Algorithm {Simple
,,TARP
,,CeilingDiffuser
,,AdaptiveConvectionAlgorithm}
,1,TARP


Outside Convection Algorithm

,,Algorithm {SimpleCombined
,,TARP
,,MoWitt
,,DOE-2
,,AdaptiveConvectionAlgorithm}
,1,DOE-2


Sky Radiance Distribution

,,Value {Anisotropic}
,1,Anisotropic


Zone Air Solution Algorithm

,,Algorithm {ThirdOrderBackwardDifference,Space Heat Balance Sizing,Space Heat Balance Simulation
,,AnalyticalSolution,,
,,EulerMethod},,
,1,ThirdOrderBackwardDifference,No,No


Zone Air Carbon Dioxide Balance Simulation

,,Simulation {Yes/No},Carbon Dioxide Concentration
,1,No,N/A


Zone Air Generic Contaminant Balance Simulation

,,Simulation {Yes/No},Generic Contaminant Concentration
,1,No,N/A


Zone Air Mass Flow Balance Simulation

,,Enforce Mass Balance,Adjust Zone Mixing and Return {AdjustMixingOnly,Adjust Zone Infiltration {AddInfiltration,Infiltration Zones {MixingSourceZonesOnly
,,,AdjustReturnOnly,AdjustInfiltration,AllZones}
,,,AdjustMixingThenReturn,None},
,,,AdjustReturnThenMixing,,
,,,None},,
,1,No,N/A,N/A,N/A


HVACSystemRootFindingAlgorithm

,,Value {RegulaFalsi
,,Bisection
,,BisectionThenRegulaFalsi
,,RegulaFalsiThenBisection}
,1,RegulaFalsi


Environment:Site Atmospheric Variation

,,Wind Speed Profile Exponent {},Wind Speed Profile Boundary Layer Thickness {ft},Air Temperature Gradient Coefficient {F/ft}
,1,0.220,1213.970,0.003566


Material Details

,,Material Name,ThermalResistance {m2-K/w},Roughness,Thickness {ft},Conductivity {w/m-K},Density {lb/ft3},Specific Heat {Btu/lbm-R},Absorptance:Thermal,Absorptance:Solar,Absorptance:Visible
,1,sheathing_consol_layer,0.8807,Rough,0.1021,3.533E-002,1.255,0.350,0.9000,0.7000,0.7000
,2,ceil_consol_layer,6.4845,Rough,1.3131,6.172E-002,2.618,0.185,0.9000,0.7000,0.7000
,3,floor_consol_layer,1.9554E-005,Rough,0.0008,12.990,3.438,0.219,0.9000,0.7000,0.7000
,4,bsmtwall_consol_layer,2.3423E-005,Rough,0.0008,10.844,7.541,0.248,0.9000,0.7000,0.7000
,5,crawlwall_consol_layer,2.3423E-005,Rough,0.0008,10.844,7.541,0.248,0.9000,0.7000,0.7000
,6,wall_consol_layer,2.4438,Rough,0.4584,5.717E-002,7.541,0.248,0.9000,0.7000,0.7000
,7,Very High Reflectivity Surface,2.1097E-006,Smooth,0.0016,237.000,168.680,0.216,0.9000,5.0000E-002,5.0000E-002
,8,GypsumBoard-5/16in,5.0054E-002,Rough,0.0260,0.159,39.954,0.270,0.9000,0.4000,0.1000
,9,CopperPipe,4.7506E-005,MediumRough,0.0625,401.000,140.026,0.200,0.9000,0.6500,0.6500
,10,F08 Metal surface,1.7668E-005,Smooth,0.0026,45.280,488.437,0.119,0.9000,0.7000,0.7000
,11,Concrete_4in,7.7356E-002,Rough,0.3330,1.312,140.014,0.111,0.9000,0.7000,0.7000
,12,Asphalt_shingle,7.7448E-002,MediumRough,0.0208,8.186E-002,70.000,0.300,0.9000,0.7500,0.7000
,13,Wood_shingle,0.1115,MediumSmooth,0.0417,0.114,26.600,0.390,0.9000,0.7000,0.7000
,14,Slate_shingle,8.8061E-003,MediumSmooth,0.0417,1.442,100.000,0.300,0.9000,0.7000,0.7000
,15,cement_stucco,2.6422E-002,MediumSmooth,0.0625,0.721,116.464,0.210,0.9000,0.7000,0.7000
,16,syn_stucco,3.5237E-002,MediumSmooth,0.0100,8.650E-002,24.971,0.210,0.7000,0.7000,0.7000
,17,Drywall_1/2in,7.9331E-002,MediumSmooth,0.0417,0.160,50.000,0.260,0.9000,0.7000,0.7000
,18,OSB_5/8in,0.1365,MediumSmooth,0.0521,0.116,34.000,0.290,0.9000,0.7000,0.7000
,19,OSB_7/16in,9.5550E-002,MediumSmooth,0.0365,0.116,34.000,0.290,0.9000,0.7000,0.7000
,20,Blown_R30,5.1614,MediumRough,0.6975,4.119E-002,0.600,0.200,0.9000,0.7000,0.7000
,21,Blown_R30_top,2.8489,MediumRough,0.3849,4.119E-002,0.600,0.200,0.9000,0.7000,0.7000
,22,Plywood_3/4in,0.1650,Rough,0.0625,0.115,34.003,0.161,0.9000,0.7000,0.7000
,23,Batt_R19,7.3089,MediumRough,0.0833,3.475E-003,0.600,0.200,0.9000,0.7000,0.7000
,24,Lumber_2x4,0.7709,Rough,0.2920,0.115,32.003,0.183,0.9000,0.7000,0.7000
,25,Carpet_n_pad,0.4224,MediumSmooth,0.0833,6.013E-002,2.000,0.200,0.9000,0.7000,0.7000
,26,Batt_R13,2.2936,MediumRough,0.2917,3.876E-002,0.600,0.200,0.9000,0.7000,0.7000
,27,OSB_1/2in,0.1092,MediumSmooth,0.0417,0.116,34.000,0.290,0.9000,0.7000,0.7000
,28,soil_12in,0.1761,Rough,1.0000,1.731,115.011,0.056,0.9000,0.7000,0.7000
,29,door_const,0.6289,Smooth,0.1486,7.201E-002,32.003,0.183,0.9000,0.7000,0.7000
,30,Gyp_board_1/2in,8.0130E-002,Rough,0.0417,0.159,39.954,0.270,0.9000,0.4000,0.1000
,31,Std Wood 6inch,1.2500,MediumSmooth,0.4921,0.120,33.711,0.289,0.9000,0.7000,0.7000
,32,Pipe Insulation,1.2255,VeryRough,0.1334,3.317E-002,5.681,0.200,0.9000,0.5000,0.5000
,33,MANF_WALL_AIRGAP,0.1200,Smooth,0.0000,0.000,0.000,0.000,0.9000,0.7000,0.7000
,34,BLDG_PAPER_FELT,1.0567E-002,Smooth,0.0000,0.000,0.000,0.000,0.9000,0.7000,0.7000
,35,R_HIGH,177.0000,MediumRough,0.0000,0.000,0.000,0.000,0.9000,0.7000,0.7000
,36,CLEAR ACRYLIC PLASTIC,3.3333E-003,VerySmooth,0.0098,0.900,0.000,0.000,0.9000,0.0000,0.0000
,37,DIFFUSING ACRYLIC PLASTIC,2.4444E-003,VerySmooth,0.0072,0.900,0.000,0.000,0.9000,0.0000,0.0000
,38,INT_BLIND,0.0000,Rough,0.0000,0.000,0.000,0.000,0.0000,0.0000,0.0000
,39,GLASS,0.4542,VerySmooth,0.1425,9.560E-002,0.000,0.000,0.8400,0.0000,0.0000


Material:Air

,,Material Name,ThermalResistance {m2-K/w}
,1,AIR_4_IN_VERT,0.1585
,2,3/4IN_AIR_SPACE,8.5130E-002
,3,3/4IN_REFLECTIVE_AIR_SPACE,0.2466
,4,AIR_4_IN_VERT,0.1585


Shadowing/Sun Position Calculations Annual Simulations

,,Shading Calculation Method,Shading Calculation Update Frequency Method,Shading Calculation Update Frequency {days},Maximum Figures in Shadow Overlap Calculations {},Polygon Clipping Algorithm,Pixel Counting Resolution,Sky Diffuse Modeling Algorithm,Output External Shading Calculation Results,Disable Self-Shading Within Shading Zone Groups,Disable Self-Shading From Shading Zone Groups to Other Zones
,1,PolygonClipping,Periodic,20,15000.,SutherlandHodgman,512,SimpleSkyDiffuseModeling,No,No,No


Surface Geometry

,,Starting Corner,Vertex Input Direction,Coordinate System,Daylight Reference Point Coordinate System,Rectangular (Simple) Surface Coordinate System
,1,LowerLeftCorner,Counterclockwise,RelativeCoordinateSystem,RelativeCoordinateSystem,RelativeToZoneOrigin


Other Side Coefficients

,,Name,Combined convective/radiative film coefficient {Btu/h-ft2-F},User selected Constant Temperature {F},Coefficient modifying the constant temperature term,Coefficient modifying the external dry bulb temperature term,Coefficient modifying the ground temperature term,Coefficient modifying the wind speed term {s/m},Coefficient modifying the zone air temperature term,Constant Temperature Schedule Name,Sinusoidal Variation,Period of Sinusoidal Variation,Previous Other Side Temperature Coefficient,Minimum Other Side Temperature {F},Maximum Other Side Temperature {F}
,1,SURFPROPOTHSDCOEFSLABAVERAGE,N/A,N/A,1.000,0.000,0.000,0.000,0.000,SCHEDULEOSCSLABAVERAGESURFACETEMP,NO,24.000,0.000,N/A,N/A
,2,SURFPROPOTHSDCOEFSLABPERIMETER,N/A,N/A,1.000,0.000,0.000,0.000,0.000,SCHEDULEOSCSLABPERIMETERTEMP,NO,24.000,0.000,N/A,N/A
,3,SURFPROPOTHSDCOEFSLABCORE,N/A,N/A,1.000,0.000,0.000,0.000,0.000,SCHEDULEOSCSLABCORETEMP,NO,24.000,0.000,N/A,N/A


Surface Heat Transfer Algorithm

,,Value {CTF - ConductionTransferFunction,Inside Surface Max Temperature Limit{F},Surface Convection Coefficient Lower Limit {Btu/h-ft2-F},Surface Convection Coefficient Upper Limit {Btu/h-ft2-F}
,,EMPD - MoisturePenetrationDepthConductionTransferFunction,,,
,,CondFD - ConductionFiniteDifference,,,
,,HAMT - CombinedHeatAndMoistureFiniteElement} - Description,,,
,1,CTF - ConductionTransferFunction,392.,0.02,176.1


Shading Summary

,,Number of Fixed Detached Shades,Number of Building Detached Shades,Number of Attached Shades
,1,0,0,4


Zone Summary

,,Number of Zones,Number of Zone Surfaces,Number of SubSurfaces
,1,3,39,12


Zone Information

,,Zone Name,North Axis {deg},Origin X-Coordinate {ft},Origin Y-Coordinate {ft},Origin Z-Coordinate {ft},Centroid X-Coordinate {ft},Centroid Y-Coordinate {ft},Centroid Z-Coordinate {ft},Type,Zone Multiplier,Zone List Multiplier,Minimum X {ft},Maximum X {ft},Minimum Y {ft},Maximum Y {ft},Minimum Z {ft},Maximum Z {ft},Ceiling Height {ft},Volume {ft3},Zone Inside Convection Algorithm {Simple-Detailed-CeilingDiffuser-TrombeWall},Zone Outside Convection Algorithm {Simple-Detailed-Tarp-MoWitt-DOE-2-BLAST},Floor Area {ft2},Exterior Gross Wall Area {ft2},Exterior Net Wall Area {ft2},Exterior Window Area {ft2},Number of Surfaces,Number of SubSurfaces,Number of Shading SubSurfaces,Part of Total Building Area
,1,LIVING_UNIT1,0.0,0.00,0.00,0.00,19.92,14.93,8.53,1,1,1,0.00,39.80,0.00,29.86,0.03,17.03,12.76,17050.65,TARP,DOE-2,2377.12,2199.28,1803.88,355.35,12,10,4,Yes
,2,GARAGE1,0.0,19.82,-20.0,0.00,29.82,-10.0,5.02,1,1,1,19.82,39.80,-20.0,0.00,0.03,11.84,10.14,4061.43,TARP,DOE-2,400.03,576.14,464.19,0.00,9,2,0,Yes
,3,ATTIC_UNIT1,0.0,0.00,0.00,0.00,19.92,14.93,18.34,1,1,1,0.00,39.80,0.00,29.86,17.03,21.98,2.46,2937.55,TARP,DOE-2,1188.56,147.59,147.59,0.00,5,0,0,Yes


Zone Internal Gains Nominal

,,Zone Name,Floor Area {ft2},# Occupants,Area per Occupant {ft2/person},Occupant per Area {person/ft2},Interior Lighting {Btu/h-ft2},Electric Load {Btu/h-ft2},Gas Load {Btu/h-ft2},Other Load {Btu/h-ft2},Hot Water Eq {Btu/h-ft2},Steam Equipment {Btu/h-ft2},Sum Loads per Area {Btu/h-ft2},Outdoor Controlled Baseboard Heat
,1,LIVING_UNIT1,2377.12,3.0,792.366,0.001,0.485,2.158,0.000,0.000,0.000,0.000,2.644,No
,2,GARAGE1,400.03,0.0,N/A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No
,3,ATTIC_UNIT1,1188.56,0.0,N/A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No


People Internal Gains Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {ft2},# Zone Occupants,Number of People {},People/Floor Area {person/ft2},Floor Area per person {ft2/person},Fraction Radiant,Fraction Convected,Sensible Fraction Calculation,Activity level,ASHRAE 55 Warnings,Carbon Dioxide Generation Rate,Minimum Number of People for All Day Types,Maximum Number of People for All Day Types,Minimum Number of People for Weekdays,Maximum Number of People for Weekdays,Minimum Number of People for Weekends/Holidays,Maximum Number of People for Weekends /Holidays,Minimum Number of People for Summer Design Days,Maximum Number of People for Summer Design Days,Minimum Number of People for Winter Design Days,Maximum Number of People for Winter Design Days
,1,PEOPLE_UNIT1,OCCUPANCY,LIVING_UNIT1,2377.12,3.0,3.0,0.001,792.366,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0.7,3.0,0.7,3.0,0.7,3.0,0.7,3.0,0.7,3.0


Lights Internal Gains Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {ft2},# Zone Occupants,Lighting Level {Btu/h},Lights/Floor Area {Btu/h-ft2},Lights per person {W/person},Fraction Return Air,Fraction Radiant,Fraction Short Wave,Fraction Convected,Fraction Replaceable,End-Use,Minimum Lighting Level for All Day Types {Btu/h},Maximum Lighting Level for All Day Types {Btu/h},Minimum Lighting Level for Weekdays {Btu/h},Maximum Lighting Level for Weekdays {Btu/h},Minimum Lighting Level for Weekends/Holidays {Btu/h},Maximum Lighting Level for Weekends /Holidays {Btu/h},Minimum Lighting Level for Summer Design Days {Btu/h},Maximum Lighting Level for Summer Design Days {Btu/h},Minimum Lighting Level for Winter Design Days {Btu/h},Maximum Lighting Level for Winter Design Days {Btu/h}
,1,LIVING HARDWIRED LIGHTING1,INTERIORLIGHTINGHE,LIVING_UNIT1,2377.12,3.0,792.730,0.333,77.445,0.000,0.600,0.200,0.200,0.000,General,54.500,792.730,54.500,792.6,54.500,792.730,54.500,792.730,54.500,792.730
,2,LIVING PLUG-IN LIGHTING1,INTERIORLIGHTINGHE,LIVING_UNIT1,2377.12,3.0,360.491,0.152,35.218,0.000,0.600,0.200,0.200,0.000,General,24.785,360.491,24.785,360.6,24.785,360.491,24.785,360.491,24.785,360.491


ElectricEquipment Internal Gains Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {ft2},# Zone Occupants,Equipment Level {Btu/h},Equipment/Floor Area {Btu/h-ft2},Equipment per person {W/person},Fraction Latent,Fraction Radiant,Fraction Lost,Fraction Convected,End-Use SubCategory,Minimum Equipment Level for All Day Types {Btu/h},Maximum Equipment Level for All Day Types {Btu/h},Minimum Equipment Level for Weekdays {Btu/h},Maximum Equipment Level for Weekdays {Btu/h},Minimum Equipment Level for Weekends/Holidays {Btu/h},Maximum Equipment Level for Weekends /Holidays {Btu/h},Minimum Equipment Level for Summer Design Days {Btu/h},Maximum Equipment Level for Summer Design Days {Btu/h},Minimum Equipment Level for Winter Design Days {Btu/h},Maximum Equipment Level for Winter Design Days {Btu/h}
,1,DISHWASHER1,DISHWASHER_EQUIP_SCH,LIVING_UNIT1,2377.12,3.0,126.725,0.053,12.380,0.150,0.600,0.250,0.000,dishwasher,0.000,126.725,3.637,118.277,3.897,126.725,3.897,126.725,3.897,126.725
,2,REFRIGERATOR1,REFRIGERATOR,LIVING_UNIT1,2377.12,3.0,287.932,0.121,28.129,0.000,1.000,0.000,0.000,refrigerator,210.592,287.932,210.592,287.932,210.592,287.932,210.592,287.932,210.592,287.932
,3,CLOTHESWASHER1,CLOTHESWASHER_EQUIP_SCH,LIVING_UNIT1,2377.12,3.0,43.309,0.018,4.231,0.000,0.800,0.200,0.000,clotheswasher,0.000,43.309,1.535,35.399,1.880,43.309,1.880,43.309,1.880,43.309
,4,ELECTRIC_DRYER1,CLOTHESDRYER,LIVING_UNIT1,2377.12,3.0,726.978,0.306,71.022,5.000E-002,0.150,0.800,0.000,electric_dryer,0.000,726.978,14.494,594.224,17.732,726.978,17.732,726.978,17.732,726.978
,5,ELECTRIC_RANGE1,COOKINGRANGE,LIVING_UNIT1,2377.12,3.0,846.701,0.356,82.718,0.300,0.400,0.300,0.000,electric_range,19.936,846.701,19.936,846.701,19.936,846.701,19.936,846.701,19.936,846.701
,6,TELEVISION1,INTERIORLIGHTING,LIVING_UNIT1,2377.12,3.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,7,ELECTRIC_MELS1,MISCPLUGLOAD,LIVING_UNIT1,2377.12,3.0,1936.187,0.815,189.155,6.000E-002,0.690,0.250,0.000,electric_mels,1001.054,1936.187,1001.054,1936.187,1001.054,1936.187,1001.054,1936.187,1001.054,1936.187
,8,IECC_ADJ1,MISCPLUGLOAD,LIVING_UNIT1,2377.12,3.0,1162.970,0.489,113.616,6.244E-002,0.412,0.251,0.275,IECC_adj,601.283,1162.970,601.283,1162.970,601.283,1162.970,601.283,1162.970,601.283,1162.970


Construction CTF

,,Construction Name,Index,#Layers,#CTFs,Time Step {Hours},ThermalConductance {Btu/h-ft2-F},OuterThermalAbsorptance,InnerThermalAbsorptance,OuterSolarAbsorptance,InnerSolarAbsorptance,Roughness
,1,EXTERIOR WALL,1,5,9,0.250,0.0498,0.700,0.900,0.700,0.700,MediumSmooth
,2,INTERIORFURNISHINGS,2,1,7,0.250,0.1409,0.900,0.900,0.700,0.700,MediumSmooth
,3,INTERIOR FLOOR,5,2,3,0.250,0.300,0.900,0.900,0.700,0.700,Rough
,4,INTERIOR CEILING,6,2,8,0.250,0.0268,0.900,0.900,0.700,0.700,Rough
,5,ATTIC FLOOR,7,2,8,0.250,0.0268,0.900,0.900,0.700,0.700,MediumSmooth
,6,EXTERIOR ROOF,11,2,3,0.250,0.943,0.900,0.900,0.750,0.700,MediumRough
,7,EXTERIOR DOOR,14,1,5,0.250,0.280,0.900,0.900,0.700,0.700,Smooth
,8,GABLE_END,16,5,5,0.250,0.428,0.900,0.900,0.700,0.700,MediumSmooth
,9,iz-EXTERIOR WALL,24,5,9,0.250,0.0498,0.900,0.700,0.700,0.700,MediumSmooth


Material CTF Summary

,,Material Name,Thickness {ft},Conductivity {w/m-K},Density {lb/ft3},Specific Heat {Btu/lbm-R},ThermalResistance {m2-K/w}
,1,syn_stucco,0.0098,0.086,24.971,0.210,0.3524E-01
,2,sheathing_consol_layer,0.1020,0.035,1.255,0.350,0.8807
,3,OSB_7/16in,0.0364,0.116,34.000,0.290,0.9555E-01
,4,wall_consol_layer,0.4584,0.057,7.541,0.248,2.444
,5,Drywall_1/2in,0.0417,0.160,50.000,0.260,0.7933E-01
,6,Std Wood 6inch,0.4921,0.120,33.711,0.289,1.250
,7,Plywood_3/4in,0.0627,0.115,34.003,0.161,0.1650
,8,Carpet_n_pad,0.0833,0.060,2.000,0.200,0.4224
,9,ceil_consol_layer,1.3131,0.062,2.618,0.185,6.484
,10,Drywall_1/2in,0.0417,0.160,50.000,0.260,0.7933E-01
,11,Drywall_1/2in,0.0417,0.160,50.000,0.260,0.7933E-01
,12,ceil_consol_layer,1.3131,0.062,2.618,0.185,6.484
,13,Asphalt_shingle,0.0207,0.082,70.000,0.300,0.7745E-01
,14,OSB_1/2in,0.0417,0.116,34.000,0.290,0.1092
,15,door_const,0.1486,0.072,32.003,0.183,0.6289
,16,cement_stucco,0.0627,0.721,116.464,0.210,0.2642E-01
,17,BLDG_PAPER_FELT,0.0000,0.000,0.000,0.000,0.1057E-01
,18,OSB_5/8in,0.0522,0.116,34.000,0.290,0.1365
,19,Drywall_1/2in,0.0417,0.160,50.000,0.260,0.7933E-01
,20,Drywall_1/2in,0.0417,0.160,50.000,0.260,0.7933E-01
,21,wall_consol_layer,0.4584,0.057,7.541,0.248,2.444
,22,OSB_7/16in,0.0364,0.116,34.000,0.290,0.9555E-01
,23,sheathing_consol_layer,0.1020,0.035,1.255,0.350,0.8807
,24,syn_stucco,0.0098,0.086,24.971,0.210,0.3524E-01


Material:Air

,,Material Name,ThermalResistance {m2-K/w}
,1,AIR_4_IN_VERT,0.1585
,2,3/4IN_AIR_SPACE,8.5130E-002
,3,3/4IN_REFLECTIVE_AIR_SPACE,0.2466
,4,AIR_4_IN_VERT,0.1585


CTF

,,Time,Outside,Cross,Inside,Flux (except final one)
,1,9,-0.22549215E-07,0.15068908E-13,-0.36636575E-07,0.15325053E-12
,2,8,0.59171433E-04,0.27732189E-10,0.87245177E-04,-0.17245386E-07
,3,7,-0.28958691E-02,0.32836698E-07,-0.76712678E-02,0.40343077E-04
,4,6,0.54592497E-01,0.38495894E-05,0.20687904,-0.19000017E-02
